month,hour,mean,std,median,min,max,count
2025-03,0,112.9276,0.5269,112.8450,111.9700,113.9415,12
2025-03,1,110.4663,1.2033,110.5167,108.5000,112.5623,12
2025-03,2,109.1235,0.5907,109.1000,108.0500,110.0800,12
2025-03,3,108.0393,0.5110,107.9550,107.3900,109.1071,12
2025-03,4,105.3828,1.1503,104.8750,103.8300,106.9100,12
2025-03,5,103.1067,1.0818,103.1600,101.3700,104.4100,12
2025-03,6,102.9747,0.5673,102.9900,102.1500,104.0400,12
2025-03,7,101.8396,0.8069,101.7100,100.3900,103.1256,11
2025-03,8,102.3378,0.8882,102.2300,101.0400,103.6500,12
2025-03,9,101.6563,0.9646,101.7125,99.3000,102.9136,12
2025-03,10,101.5244,0.5882,101.7650,99.9800,102.0060,12
2025-03,11,99.5381,1.3132,99.5700,97.7300,101.3500,12
2025-03,12,95.8832,2.0426,96.0012,92.5500,98.4958,12
2025-03,13,97.7587,1.1555,98.1737,95.4768,98.9300,12
2025-03,14,99.0134,0.2895,98.9850,98.6100,99.4600,12
2025-03,15,99.5716,0.6299,99.7550,98.4400,100.4900,12
2025-03,16,100.8875,0.8627,100.5802,99.5800,102.1000,12
2025-03,17,109.8357,7.8891,106.7550,102.4261,124.0300,16
2025-03,18,113.4555,9.5623,112.7815,102.5100,129.5300,24
2025-03,19,112.5476,7.8877,112.4150,103.4300,121.3100,24
2025-03,20,116.0174,6.9877,118.3750,104.7100,123.8100,16
2025-03,21,112.2106,1.3427,112.1513,110.5000,114.6883,12
2025-03,22,111.2445,1.5083,111.4588,108.3400,113.0660,12
2025-03,23,113.8932,0.5691,113.8250,112.6500,114.7000,12
2025-04,0,98.6871,4.5529,99.2700,89.8900,107.3795,95
2025-04,1,99.8972,4.7518,100.1993,89.0000,108.2500,96
2025-04,2,97.2317,5.3358,95.3800,84.8600,106.6200,108
2025-04,3,96.5554,4.8044,96.1300,88.9000,103.8700,107
2025-04,4,93.5403,9.1286,93.9900,60.5000,107.4017,77
2025-04,5,90.5582,9.1919,91.6000,67.2400,105.7600,80
2025-04,6,87.6914,10.2976,87.9200,48.5700,105.9171,83
2025-04,7,85.3935,9.9804,88.3500,37.4600,100.1585,84
2025-04,8,77.6447,20.4592,85.6750,22.8700,96.6492,81
2025-04,9,77.9032,16.8053,81.7800,24.0922,93.6000,84
2025-04,10,82.4732,6.4904,83.5200,68.1100,91.7500,84
2025-04,11,78.0612,14.7806,83.2700,32.9900,92.0300,83
2025-04,12,81.5213,7.5106,83.3638,56.8500,90.3600,82
2025-04,13,86.4876,5.9530,87.0621,48.3413,92.4800,82
2025-04,14,92.3771,5.4763,93.3750,59.3000,102.8400,78
2025-04,15,95.8221,12.3427,97.4500,39.6300,113.6900,82
2025-04,16,102.7117,7.6756,102.2500,84.8600,121.8400,77
2025-04,17,110.2091,8.9744,112.0200,89.7000,128.9950,82
2025-04,18,111.7245,7.2157,112.9773,94.3100,122.8711,93
2025-04,19,108.4900,7.2554,108.0550,85.8500,122.3800,94
2025-04,20,102.3594,19.3631,107.3150,39.1600,120.6833,94
2025-04,21,104.9726,3.6437,104.6750,96.7650,114.3728,92
2025-04,22,100.7834,5.2767,101.7500,89.1600,107.3600,96
2025-04,23,100.3707,5.6240,101.2400,86.4100,109.9000,95
