month,hour,mean,std,median,min,max,count
2025-03,0,,0.0000,,,,0
2025-03,1,,0.0000,,,,0
2025-03,2,,0.0000,,,,0
2025-03,3,,0.0000,,,,0
2025-03,4,,0.0000,,,,0
2025-03,5,,0.0000,,,,0
2025-03,6,,0.0000,,,,0
2025-03,7,,0.0000,,,,0
2025-03,8,,0.0000,,,,0
2025-03,9,,0.0000,,,,0
2025-03,10,,0.0000,,,,0
2025-03,11,,0.0000,,,,0
2025-03,12,,0.0000,,,,0
2025-03,13,,0.0000,,,,0
2025-03,14,,0.0000,,,,0
2025-03,15,,0.0000,,,,0
2025-03,16,,0.0000,,,,0
2025-03,17,,0.0000,,,,0
2025-03,18,,0.0000,,,,0
2025-03,19,,0.0000,,,,0
2025-03,20,,0.0000,,,,0
2025-03,21,,0.0000,,,,0
2025-03,22,,0.0000,,,,0
2025-03,23,,0.0000,,,,0
2025-04,0,4.5180,0.7590,4.0750,3.7100,5.9700,36
2025-04,1,4.6953,0.9247,4.3350,3.7600,6.1800,36
2025-04,2,4.7082,0.8582,4.6650,3.4900,6.1000,48
2025-04,3,4.9183,0.9086,4.9600,3.5000,6.2800,47
2025-04,4,4.2360,1.1444,5.0230,2.6400,5.3300,29
2025-04,5,4.2259,1.1575,4.9825,2.6000,5.3800,33
2025-04,6,3.9607,1.7043,4.9800,0.4800,5.4500,35
2025-04,7,3.5829,2.0437,4.6350,0.3100,5.4200,36
2025-04,8,3.7483,1.3955,4.4000,0.7868,5.1100,35
2025-04,9,4.1596,0.6888,4.4500,3.1400,5.0400,36
2025-04,10,4.2797,0.7200,4.6400,3.0200,5.0200,36
2025-04,11,4.3512,0.4057,4.5500,3.5900,4.8500,35
2025-04,12,4.2434,0.4176,4.5100,3.5000,4.6900,35
2025-04,13,4.6035,0.3286,4.6683,3.5200,5.0300,34
2025-04,14,4.8629,0.1882,4.8900,4.2800,5.1200,33
2025-04,15,4.9268,0.1788,4.9733,4.5000,5.2900,35
2025-04,16,4.8028,0.4693,4.8100,3.9500,5.6300,29
2025-04,17,5.1310,0.3983,5.2250,4.3700,5.6600,28
2025-04,18,5.5971,0.3974,5.5700,4.5200,6.3300,33
2025-04,19,5.6586,0.3678,5.6400,4.9200,6.5600,35
2025-04,20,6.5934,1.0892,6.1600,5.3109,8.4400,35
2025-04,21,6.6817,1.2617,6.1100,5.3400,8.5000,35
2025-04,22,6.2221,1.5967,5.4400,4.6500,8.4500,36
2025-04,23,5.4931,1.6174,4.8150,3.9400,8.3700,36
2025-05,0,5.5025,0.8116,5.5900,3.4200,7.8600,360
2025-05,1,5.2762,0.8255,5.3700,2.5300,6.7800,359
2025-05,2,5.1917,0.7676,5.2100,3.4600,6.7500,359
2025-05,3,5.0091,0.7691,4.9900,3.4800,6.6200,360
2025-05,4,4.9899,0.8597,4.8950,2.8300,7.0886,360
2025-05,5,4.7318,0.8830,4.6500,2.7100,6.5525,359
2025-05,6,4.5594,0.9653,4.4100,2.3750,6.5400,360
2025-05,7,4.3262,1.1874,4.2800,0.3900,6.5100,359
2025-05,8,4.2979,1.2996,4.2533,0.7100,6.4600,360
2025-05,9,4.3713,1.3670,4.5100,0.1100,6.4300,359
2025-05,10,4.3027,1.4876,4.5350,0.1200,6.1900,360
2025-05,11,4.3188,1.3282,4.5600,0.9100,6.0600,359
2025-05,12,4.4856,1.2488,4.8150,1.1000,6.0800,360
2025-05,13,4.7571,0.9265,4.9900,2.1000,6.2200,359
2025-05,14,5.0958,0.7709,5.3433,3.1300,6.3700,367
2025-05,15,5.3410,0.7208,5.4725,3.1967,6.4400,370
2025-05,16,5.5637,0.7870,5.6800,2.7300,8.1073,371
2025-05,17,5.8269,0.6653,5.8500,3.5800,8.1932,370
2025-05,18,5.9142,0.6675,5.8550,4.1500,8.1953,360
2025-05,19,6.0127,0.6750,6.0550,4.3500,8.0554,360
2025-05,20,6.1336,0.7043,6.2750,4.1800,7.9182,358
2025-05,21,6.0924,0.7363,6.0650,4.2767,7.8824,360
2025-05,22,6.0541,0.7779,6.0383,3.5700,7.8227,358
2025-05,23,5.8437,0.8913,5.9000,3.4100,7.8536,358
2025-06,0,5.4887,0.9185,5.2700,3.2700,7.8017,310
2025-06,1,5.3496,1.2135,5.1575,3.2100,8.3400,312
2025-06,2,5.2541,1.3309,5.1550,2.5400,8.6200,312
2025-06,3,5.1985,1.3387,5.1517,2.5800,8.6300,308
2025-06,4,5.0043,1.3043,5.0350,2.7300,8.0242,300
2025-06,5,4.8865,1.3554,5.0150,2.1500,7.9426,298
2025-06,6,4.6431,1.3933,4.7200,1.3700,7.9380,299
2025-06,7,4.6591,1.4270,4.4500,1.1200,8.0495,300
2025-06,8,4.6798,1.3666,4.6800,1.9900,8.0495,300
2025-06,9,4.5543,1.3952,4.3800,1.7700,7.9529,300
2025-06,10,4.4385,1.3701,4.3200,2.1700,7.9152,299
2025-06,11,4.4722,1.2566,4.2850,2.1800,7.8817,298
