month,hour,mean,std,median,min,max,count
2025-03,0,6.8948,0.0297,6.8900,6.8600,6.9540,12
2025-03,1,7.1297,0.2698,7.0650,6.9700,7.9635,12
2025-03,2,6.8298,0.3060,6.7150,6.5100,7.2700,12
2025-03,3,7.1127,0.1986,7.1017,6.8690,7.3900,12
2025-03,4,7.2938,0.3694,7.1900,6.9671,8.3090,12
2025-03,5,7.2555,0.1159,7.2450,7.0900,7.4209,12
2025-03,6,6.7467,0.2213,6.6950,6.4400,7.0537,12
2025-03,7,6.2636,0.1776,6.3600,5.9800,6.4300,11
2025-03,8,6.1042,0.0621,6.1000,6.0200,6.2100,12
2025-03,9,6.3838,0.0211,6.3850,6.3357,6.4100,12
2025-03,10,6.4664,0.3115,6.3700,6.3200,7.4455,12
2025-03,11,6.4148,0.0541,6.4100,6.3200,6.4880,12
2025-03,12,6.5001,0.0268,6.4950,6.4600,6.5537,12
2025-03,13,6.4957,0.2311,6.4800,6.2700,7.1300,12
2025-03,14,6.3803,0.0533,6.3800,6.2850,6.4700,12
2025-03,15,6.4795,0.0923,6.4794,6.3300,6.6700,12
2025-03,16,6.4452,0.3728,6.3500,6.2400,7.6147,12
2025-03,17,6.3129,0.0876,6.2700,6.2300,6.5000,16
2025-03,18,6.5064,0.1729,6.4583,6.3100,6.8600,24
2025-03,19,6.9342,0.5700,6.9250,6.3800,8.4334,24
2025-03,20,7.1722,0.3897,7.3550,6.5000,7.4700,16
2025-03,21,7.1743,0.0779,7.1538,7.0900,7.3244,12
2025-03,22,7.1599,0.2663,7.1600,6.9200,7.9093,12
2025-03,23,6.8712,0.0263,6.8700,6.8300,6.9284,12
2025-04,0,7.3749,0.5980,7.1050,6.5000,8.6746,84
2025-04,1,7.1432,0.6655,7.0100,6.2700,8.6436,84
2025-04,2,7.2040,0.6831,6.9700,6.2300,8.6377,94
2025-04,3,7.1193,0.7657,7.0850,5.9900,8.6393,96
2025-04,4,7.0328,0.6574,6.8700,6.1400,8.6485,77
2025-04,5,7.1531,0.7381,6.8900,6.1900,8.6268,80
2025-04,6,6.9265,0.7458,6.8700,6.0800,8.6393,83
2025-04,7,6.8975,0.7617,6.7600,6.0500,8.6262,84
2025-04,8,6.6786,0.8771,6.5050,5.6100,8.6129,82
2025-04,9,6.5768,0.9419,6.3650,5.2500,8.6152,84
2025-04,10,6.4308,1.0303,6.2400,5.1800,8.6264,84
2025-04,11,6.4529,0.9598,6.1500,5.3200,8.5875,83
2025-04,12,6.3315,0.9939,6.1100,4.8600,8.5070,83
2025-04,13,6.1252,1.0902,6.1150,4.7300,8.4644,82
2025-04,14,6.2183,0.9089,6.1800,5.2400,8.4305,79
2025-04,15,6.3997,0.8774,6.3100,5.4000,8.3896,83
2025-04,16,6.2841,0.3685,6.3400,5.5500,7.5888,76
2025-04,17,6.4919,0.3573,6.5600,5.8300,7.9521,82
2025-04,18,6.6843,0.3575,6.6550,6.0200,7.8000,84
2025-04,19,6.8939,0.4281,6.8100,6.3100,8.2287,82
2025-04,20,7.0528,0.3362,7.0700,6.4100,8.2556,83
2025-04,21,7.1838,0.4141,7.1200,6.7800,8.7641,81
2025-04,22,7.2784,0.6631,6.9950,6.8400,8.8602,84
2025-04,23,7.3557,0.6085,7.1300,6.7700,8.8029,83
2025-05,0,6.6348,0.7418,6.3717,5.0800,8.3700,308
2025-05,1,6.5258,0.8251,6.3500,3.7012,8.7300,312
2025-05,2,6.3213,0.7632,6.1200,4.9600,8.3811,311
2025-05,3,6.1386,0.8240,5.9500,4.6700,8.7600,311
2025-05,4,5.9823,0.8291,5.8685,3.9119,8.4600,311
2025-05,5,5.8854,0.8128,5.8528,4.0200,7.9118,312
2025-05,6,5.7176,0.8906,5.6700,3.2100,7.6700,312
2025-05,7,5.6782,0.8344,5.6600,3.1800,7.7280,311
2025-05,8,5.4248,0.6940,5.4300,3.4800,7.1020,312
2025-05,9,5.1749,0.8026,5.2336,2.8700,7.1000,312
2025-05,10,5.0920,0.9261,5.1815,2.6200,7.5475,308
2025-05,11,4.9461,0.8563,4.9550,2.8100,6.7400,312
2025-05,12,4.9463,0.8210,5.0362,2.5700,6.4200,310
2025-05,13,4.9896,0.9552,5.1200,2.2800,7.3641,309
2025-05,14,5.0147,0.7844,5.1435,2.3400,6.3650,312
2025-05,15,5.1850,0.7088,5.3200,3.0544,6.3700,311
2025-05,16,5.4358,0.7577,5.5100,2.9300,7.5824,309
2025-05,17,5.6565,0.5900,5.6800,4.2700,6.8300,317
2025-05,18,5.9520,0.6625,5.8000,4.6300,8.6600,298
2025-05,19,6.2013,0.7509,6.1300,3.3300,8.4700,304
2025-05,20,6.5398,0.6115,6.5000,5.1925,8.2000,312
2025-05,21,6.7567,0.7050,6.6750,5.5200,8.7600,311
2025-05,22,6.6409,0.7275,6.5650,3.5300,8.5500,312
2025-05,23,6.6958,0.7331,6.5200,5.0800,9.0700,311
2025-06,0,6.5122,1.0601,6.3500,4.3900,9.2100,330
2025-06,1,6.4069,1.0072,6.4150,3.8400,8.9147,332
2025-06,2,6.2552,1.0446,6.3900,3.9400,9.1900,331
2025-06,3,6.1920,1.0540,6.1500,3.8000,8.8704,329
2025-06,4,6.2239,0.9243,6.4050,3.8500,8.5970,322
2025-06,5,6.0160,0.8355,6.1300,4.1500,7.7075,323
2025-06,6,5.7320,0.9189,5.9300,3.5500,7.4900,321
2025-06,7,5.7420,0.9220,5.7550,2.9700,7.5510,322
2025-06,8,5.5166,0.8894,5.5750,3.6600,7.7000,322
2025-06,9,5.2078,0.8878,5.2250,3.2033,7.5942,320
2025-06,10,5.3256,0.8692,5.3500,3.0400,7.4733,321
2025-06,11,5.1691,0.9474,5.3333,1.7100,6.8300,322
2025-06,12,5.1508,1.0632,5.2000,1.5300,6.8563,323
2025-06,13,5.4311,0.9587,5.5000,1.8094,7.4762,322
2025-06,14,5.4180,0.8723,5.5525,2.6600,7.2900,320
2025-06,15,5.5488,0.8660,5.6450,2.5844,7.2900,317
2025-06,16,5.8350,0.8251,5.9000,3.7110,7.9833,310
2025-06,17,5.9036,0.8462,5.8900,4.0200,7.6300,324
2025-06,18,6.1156,0.8204,6.0800,4.2800,7.6000,335
2025-06,19,6.4364,0.7846,6.4050,4.6300,8.3052,334
2025-06,20,6.5437,0.8386,6.5425,4.9900,8.4600,336
2025-06,21,6.5367,0.9461,6.4200,4.6000,9.0500,346
2025-06,22,6.6047,0.9913,6.4200,4.6000,9.6945,346
2025-06,23,6.5295,1.0930,6.2275,4.6200,10.5100,345
2025-07,0,6.2155,1.1666,5.9987,3.2700,11.1500,372
2025-07,1,6.2574,1.1839,6.1550,2.9500,10.9511,372
2025-07,2,6.0731,1.0815,5.8000,3.9800,9.4500,370
2025-07,3,5.7999,1.1046,5.6775,3.6300,8.8500,372
2025-07,4,5.8057,1.0818,5.8200,3.5100,8.4409,372
2025-07,5,5.5101,1.0744,5.3400,2.4400,7.8932,370
2025-07,6,5.2763,1.0088,5.3250,1.8800,7.1945,370
2025-07,7,5.3911,0.9928,5.3650,1.6500,7.7211,372
2025-07,8,5.0315,0.9046,4.9550,3.0200,6.8814,372
2025-07,9,4.7530,1.1443,5.0400,2.1500,6.5380,372
2025-07,10,4.9648,1.2494,5.2391,1.4400,7.0196,372
2025-07,11,4.6487,1.2143,5.0400,1.2767,6.2900,371
2025-07,12,4.4760,1.5603,5.0500,0.9600,7.0100,371
2025-07,13,4.9290,1.5045,5.3300,0.7800,7.4400,372
2025-07,14,5.0702,1.3127,5.3500,2.0000,7.1656,371
2025-07,15,5.1975,1.1756,5.3250,2.2200,7.2200,370
2025-07,16,5.6505,0.9291,5.6700,3.3000,7.6585,372
2025-07,17,5.5999,0.8516,5.6100,3.6825,7.2300,371
2025-07,18,5.7868,0.8236,5.7350,3.6900,7.4400,372
