month,hour,mean,std,median,min,max,count
2025-03,0,0.4771,0.0385,0.4650,0.4400,0.5800,12
2025-03,1,0.5185,0.0497,0.5200,0.4567,0.6300,12
2025-03,2,0.5523,0.0615,0.5625,0.4200,0.6326,12
2025-03,3,0.5033,0.0515,0.4900,0.4500,0.6050,12
2025-03,4,0.5094,0.0394,0.5050,0.4400,0.5700,12
2025-03,5,0.5293,0.0617,0.5106,0.4550,0.6600,12
2025-03,6,0.4856,0.0711,0.4600,0.4100,0.6300,12
2025-03,7,0.5459,0.0863,0.5300,0.4300,0.7100,11
2025-03,8,0.5088,0.0909,0.4800,0.4300,0.7400,12
2025-03,9,0.5223,0.0684,0.5100,0.4500,0.6700,12
2025-03,10,0.4832,0.0510,0.4830,0.4200,0.5900,12
2025-03,11,0.4883,0.0425,0.4783,0.4200,0.5600,12
2025-03,12,0.5194,0.0240,0.5100,0.4900,0.5600,12
2025-03,13,0.4943,0.0473,0.4900,0.4200,0.5800,12
2025-03,14,0.5553,0.0422,0.5470,0.4800,0.6200,12
2025-03,15,0.5358,0.0881,0.5200,0.4600,0.7800,12
2025-03,16,0.5189,0.0621,0.5100,0.4400,0.6333,12
2025-03,17,3.6467,5.6968,0.4675,0.3900,13.2400,16
2025-03,18,7.0534,6.7262,6.9567,0.3700,14.2500,24
2025-03,19,1.6496,2.0543,0.6700,0.4700,9.1800,24
2025-03,20,0.6669,0.1779,0.6000,0.4800,1.1200,16
2025-03,21,0.4164,0.0505,0.4025,0.3500,0.5100,12
2025-03,22,0.4169,0.0614,0.3964,0.3500,0.5300,12
2025-03,23,0.4295,0.0246,0.4300,0.4000,0.4800,12
2025-04,0,5.5815,4.0365,4.0050,0.9950,14.7200,72
2025-04,1,6.0597,4.5431,4.3250,0.9900,15.7500,72
2025-04,2,5.2972,4.2608,4.1100,0.9600,14.2200,84
2025-04,3,5.2501,4.3321,3.8900,0.9300,14.8900,82
2025-04,4,2.8079,1.5672,2.6650,0.9500,5.3600,60
2025-04,5,4.9853,17.0664,3.2100,0.8500,133.2600,59
2025-04,6,3.0194,1.9262,3.2300,0.9450,6.8300,59
2025-04,7,3.2035,2.1280,3.3400,0.9000,8.7000,60
2025-04,8,3.2453,1.9534,3.2400,1.1392,6.9900,59
2025-04,9,3.2794,1.9865,3.2067,1.1850,6.9100,60
2025-04,10,3.3048,1.9564,3.4130,1.1400,6.8900,60
2025-04,11,3.2459,1.9515,3.3350,1.0500,6.8900,60
2025-04,12,3.0877,1.9371,2.5400,1.0100,6.7900,60
2025-04,13,3.0573,1.9435,2.5754,0.9100,7.0100,60
2025-04,14,3.1934,2.0242,3.1325,0.9100,7.2900,58
2025-04,15,3.5233,2.6184,3.0325,0.8400,10.5000,60
2025-04,16,3.6586,2.7818,3.2900,0.7400,9.8355,60
2025-04,17,3.8925,3.7526,3.3300,0.7900,23.7900,59
2025-04,18,4.4811,3.2394,3.4600,0.9200,9.8700,69
2025-04,19,4.6903,3.2043,3.5200,0.9000,10.4800,71
2025-04,20,4.6517,3.1089,3.7050,0.9400,9.5300,70
2025-04,21,4.6607,3.1479,3.8800,0.9600,10.2500,68
2025-04,22,4.8190,3.1300,3.9600,0.9200,10.1000,72
2025-04,23,4.8945,3.2917,3.7900,1.0300,11.5600,71
2025-05,0,24.4675,77.2600,2.7548,-0.0033,428.8380,348
