month,hour,mean,std,median,min,max,count
2025-03,0,-0.6804,0.0257,-0.6900,-0.7067,-0.6300,12
2025-03,1,-0.4983,0.4978,-0.6600,-0.7000,1.0678,12
2025-03,2,-0.6869,0.0200,-0.6881,-0.7200,-0.6567,12
2025-03,3,-0.6880,0.0177,-0.6900,-0.7100,-0.6600,12
2025-03,4,-0.4931,0.5404,-0.6550,-0.7037,1.2170,12
2025-03,5,-0.6659,0.0178,-0.6656,-0.6900,-0.6300,12
2025-03,6,-0.6736,0.0229,-0.6700,-0.7067,-0.6400,12
2025-03,7,-0.4704,0.6460,-0.6600,-0.6900,1.4767,11
2025-03,8,-0.6604,0.0175,-0.6588,-0.6900,-0.6300,12
2025-03,9,-0.6501,0.0230,-0.6500,-0.6900,-0.6200,12
2025-03,10,-0.4908,0.5418,-0.6650,-0.7100,1.2189,12
2025-03,11,-0.6508,0.0162,-0.6497,-0.6800,-0.6300,12
2025-03,12,-0.6444,0.0266,-0.6550,-0.6800,-0.5900,12
2025-03,13,-0.5090,0.4314,-0.6350,-0.6700,0.8570,12
2025-03,14,-0.6759,0.0214,-0.6800,-0.7100,-0.6408,12
2025-03,15,-0.6792,0.0239,-0.6753,-0.7100,-0.6500,12
2025-03,16,-0.4091,0.7074,-0.6350,-0.6691,1.8300,12
2025-03,17,-0.6438,0.0503,-0.6700,-0.7000,-0.5200,16
2025-03,18,-0.6237,0.1004,-0.6450,-0.6900,-0.2067,24
2025-03,19,-0.3267,0.8522,-0.5536,-0.6600,3.0120,24
2025-03,20,-0.6177,0.0250,-0.6150,-0.6700,-0.5700,16
2025-03,21,-0.6480,0.0274,-0.6550,-0.6900,-0.6000,12
2025-03,22,-0.4899,0.5130,-0.6400,-0.7200,1.1330,12
2025-03,23,-0.6686,0.0211,-0.6700,-0.7000,-0.6335,12
2025-04,0,-0.9327,0.0952,-0.9327,-1.0000,-0.8654,2
2025-04,1,-0.9270,0.0157,-0.9300,-0.9409,-0.9100,3
2025-04,2,-0.8469,0.1767,-0.8900,-0.9717,-0.3900,9
2025-04,3,-0.9550,0.0270,-0.9600,-1.0000,-0.8867,17
2025-04,4,-0.8854,0.1300,-0.9206,-1.0000,-0.5489,12
2025-04,5,-0.9267,0.1087,-0.9500,-0.9969,-0.5393,15
2025-04,6,-0.9645,0.0242,-0.9700,-0.9900,-0.9100,11
2025-04,7,-0.9012,0.0732,-0.9100,-0.9900,-0.7000,17
2025-04,8,-0.9712,0.0208,-0.9800,-1.0000,-0.9200,23
2025-04,9,-0.9695,0.0256,-0.9750,-1.0000,-0.9200,20
2025-04,10,-0.9167,0.0931,-0.9600,-0.9900,-0.6600,22
2025-04,11,-0.9225,0.1004,-0.9550,-1.0000,-0.4778,28
2025-04,12,-0.9465,0.0453,-0.9600,-1.0000,-0.8153,26
2025-04,13,-0.4957,1.9140,-0.9100,-0.9700,8.0700,22
2025-04,14,-0.9312,0.0375,-0.9350,-1.0000,-0.8191,24
2025-04,15,-0.9338,0.0556,-0.9400,-1.0000,-0.8200,21
2025-04,16,-0.9264,0.0918,-0.9600,-1.0000,-0.5900,20
2025-04,17,-0.9711,0.0503,-0.9800,-1.0000,-0.8492,8
2025-04,18,-0.9700,0.0221,-0.9700,-1.0000,-0.9300,10
2025-04,19,-0.9167,0.1110,-0.9500,-1.0000,-0.5600,17
2025-04,20,-0.9200,0.0831,-0.9500,-0.9900,-0.8000,5
2025-04,21,-0.9725,0.0299,-0.9800,-1.0000,-0.8900,12
2025-04,22,-0.8971,0.2307,-0.9600,-1.0000,-0.0725,15
2025-04,23,-0.9808,0.0206,-0.9900,-0.9931,-0.9500,4
2025-05,0,-0.3389,0.2292,-0.2567,-0.7900,0.2400,276
2025-05,1,-0.1824,0.6318,-0.2100,-1.0000,3.8200,283
2025-05,2,0.2977,10.5565,-0.2450,-0.9900,176.8977,282
2025-05,3,-0.3467,0.2241,-0.2800,-1.0000,0.0200,280
2025-05,4,-0.1842,0.6132,-0.2200,-1.0000,4.3550,286
2025-05,5,-0.2602,0.3304,-0.2200,-0.9900,0.9800,276
2025-05,6,-0.2298,0.3854,-0.2100,-0.9900,1.2700,279
2025-05,7,0.5307,7.8473,-0.1750,-1.0000,125.8375,281
2025-05,8,0.2903,7.8282,-0.1800,-0.9800,129.9600,277
2025-05,9,-0.1994,0.3745,-0.1900,-1.0000,0.8600,278
2025-05,10,-0.0604,0.7029,-0.1700,-1.0000,4.1867,279
2025-05,11,-0.2428,0.3368,-0.2100,-1.0000,0.9200,278
2025-05,12,-0.2128,0.7032,-0.2131,-0.9400,10.2900,277
2025-05,13,-0.1287,0.6469,-0.1900,-1.0000,5.0936,283
2025-05,14,-0.2762,0.2772,-0.2200,-0.7700,1.7033,277
2025-05,15,-0.2908,0.2844,-0.2300,-0.9200,1.9300,277
2025-05,16,-0.1374,0.6769,-0.2100,-1.0000,6.8283,285
2025-05,17,0.0177,2.9049,-0.2500,-0.9900,40.1300,290
2025-05,18,2.6707,28.2018,-0.2400,-0.8000,299.1200,265
2025-05,19,-0.1129,0.7086,-0.2300,-0.9900,3.8744,273
2025-05,20,-0.1435,2.3915,-0.2300,-0.9900,38.7371,270
2025-05,21,7.8283,123.0387,-0.2400,-1.0000,2056.6400,281
2025-05,22,-0.1611,0.6211,-0.2100,-0.9900,4.2988,281
2025-05,23,0.8561,15.0376,-0.2600,-0.7900,229.5367,275
2025-06,0,0.8547,3.0093,0.1500,-0.6500,14.3800,297
2025-06,1,0.9556,3.0715,0.1000,-0.6400,15.1000,307
2025-06,2,1.1675,3.5442,-0.2100,-0.6200,15.9100,323
2025-06,3,1.0507,3.3580,-0.2325,-0.6200,16.0300,320
2025-06,4,1.0767,3.5311,-0.2600,-0.6200,18.3000,311
2025-06,5,0.9755,3.4990,-0.2000,-0.6367,18.3600,311
2025-06,6,1.0148,3.7039,-0.2600,-0.6300,18.8300,311
2025-06,7,1.0933,3.7074,-0.2450,-0.6300,18.6500,312
2025-06,8,1.0469,3.7399,-0.2200,-0.6200,18.1500,312
2025-06,9,1.0643,3.8136,-0.2067,-0.6200,18.7700,312
2025-06,10,1.2872,3.9516,-0.1550,-0.5800,24.8987,310
2025-06,11,1.0885,3.7380,-0.1945,-0.6400,17.9700,310
2025-06,12,1.1349,3.7740,-0.1800,-0.6300,17.3200,312
2025-06,13,1.0759,3.3479,-0.0710,-0.6200,20.2744,312
2025-06,14,0.6158,2.1051,-0.0900,-0.6700,10.2700,313
2025-06,15,0.6401,2.1476,0.0100,-0.6600,10.0500,309
2025-06,16,1.6461,14.0373,0.0850,-0.6600,244.0980,312
2025-06,17,0.6274,2.1743,-0.0950,-0.6700,10.6700,314
2025-06,18,0.6371,2.2410,-0.0433,-0.6300,11.0400,323
2025-06,19,0.6663,2.0967,0.1400,-0.6700,11.3900,321
2025-06,20,0.6805,2.3561,0.0750,-0.6800,12.5000,324
2025-06,21,0.7197,2.4723,0.1100,-0.6800,12.1300,319
2025-06,22,0.9296,2.6718,0.2100,-0.6400,13.5000,312
2025-06,23,0.9625,2.9373,0.1900,-0.6700,14.5100,312
2025-07,0,1.4365,2.1305,0.7033,-0.3700,9.4300,370
2025-07,1,1.6124,3.3424,0.6200,-0.3400,33.8550,371
