month,hour,mean,std,median,min,max,count
2025-03,0,14.4489,1.0966,14.8900,11.8650,15.1682,12
2025-03,1,14.8576,0.3011,14.8900,14.0056,15.3662,12
2025-03,2,14.4026,1.2681,14.9000,11.1250,15.2258,12
2025-03,3,14.9502,0.1645,14.9000,14.8900,15.4723,12
2025-03,4,14.8697,0.2893,14.8900,14.0870,15.4194,12
2025-03,5,14.9345,0.1418,14.8950,14.8800,15.3844,12
2025-03,6,14.7801,0.4542,14.8900,13.3633,15.1749,12
2025-03,7,14.8401,0.3182,14.8700,13.9878,15.3631,11
2025-03,8,14.4817,0.9921,14.8800,12.3633,15.1608,12
2025-03,9,14.9200,0.1417,14.8800,14.8700,15.3700,12
2025-03,10,14.8566,0.3089,14.8900,14.0033,15.4153,12
2025-03,11,14.9551,0.2005,14.9000,14.8800,15.5915,12
2025-03,12,14.7062,0.7388,14.8900,12.3800,15.2142,12
2025-03,13,14.9446,0.1647,14.9000,14.8410,15.4643,12
2025-03,14,14.7171,0.7354,14.9100,12.3933,15.1519,12
2025-03,15,14.9763,0.2107,14.9200,14.9100,15.6453,12
2025-03,16,14.8964,0.2847,14.9200,14.1160,15.4211,12
2025-03,17,14.9415,0.1314,14.9100,14.9000,15.4335,16
2025-03,18,14.5677,0.9155,14.9000,12.3833,15.5686,24
2025-03,19,14.8680,0.2834,14.8900,14.0860,15.4759,24
2025-03,20,14.1331,1.9936,14.8850,7.4100,15.3365,16
2025-03,21,14.9273,0.1671,14.8800,14.8700,15.4579,12
2025-03,22,14.8690,0.3188,14.8800,14.0780,15.5697,12
2025-03,23,14.9337,0.1576,14.8900,14.8700,15.4338,12
2025-04,0,1.5443,0.2610,1.6300,0.7678,1.6500,27
2025-04,1,1.5684,0.2412,1.6400,0.7743,1.6500,24
2025-04,2,1.5949,0.2054,1.6500,0.7926,1.6600,33
2025-04,3,1.5697,0.2457,1.6500,0.7131,1.6900,40
2025-04,4,1.5449,0.3247,1.6500,0.7381,1.7200,21
2025-04,5,1.4657,0.3595,1.6400,0.7355,1.6400,15
2025-04,6,1.5639,0.2412,1.6300,0.7611,1.6400,13
2025-04,7,1.5120,0.2904,1.6100,0.7216,1.6300,17
2025-04,8,1.5711,0.1738,1.6050,0.7556,1.6200,24
2025-04,9,1.5759,0.1707,1.6000,0.7581,1.6200,25
2025-04,10,1.5827,0.1486,1.6200,0.9031,1.6300,23
2025-04,11,1.4782,0.3381,1.6300,0.7100,1.6400,29
2025-04,12,1.5479,0.2519,1.6300,0.7828,1.6400,27
2025-04,13,1.5619,0.2420,1.6300,0.7660,1.6500,24
2025-04,14,1.5684,0.2341,1.6200,0.7240,1.6500,25
2025-04,15,1.5721,0.2166,1.6200,0.7635,1.6500,26
2025-04,16,1.5522,0.2374,1.6250,0.8074,1.6500,20
2025-04,17,1.5042,0.3094,1.6300,0.7894,1.6400,13
2025-04,18,1.5703,0.2132,1.6300,0.7783,1.6500,30
2025-04,19,1.5787,0.1893,1.6300,0.7703,1.6400,37
2025-04,20,1.5979,0.1222,1.6200,0.9074,1.6300,34
2025-04,21,1.6175,0.0062,1.6200,1.6100,1.6300,32
