cluster,Temperature (C),Specific Conductance (uS/cm),Salinity (PPT),Pressure (psia),Depth (m),ODO (%Sat),ODO (mg/L),Turbidity (FNU)
0,29.48665355277447,1107.0047626743203,0.6140803037354984,14.853007619244625,10.482374153177846,93.93767065728915,7.155153591560222,84.03287281722433
1,29.155118137692824,46475.433932475105,30.093350637908962,14.736872125910343,10.175388208461815,80.75632972832777,5.253725190713989,16.984570137050593
2,29.412064591680036,13326.159281676002,8.344127553340254,0.45135403172533306,0.3169323284404142,54.748657893156484,3.956907680824962,24.227195250636996
3,29.461785857117942,2949.557415567052,1.6677309771551474,15.04695000871941,10.610392448991455,38.036232517584146,2.8602768703133172,10.786968377608556
4,29.99211108694076,21848.096115945184,14.014072221013706,14.435906750779493,10.090086977013994,83.02425531143498,5.941023131027482,890.9763700964396
